Age_GICC05+GICC05ext	d18	dD
8.001000	-33.044	-255.15
8.021000	-32.013	-247.31
8.041000	-35.703	-277.58
8.061000	-32.868	-251.69
8.081000	-35.052	-269.79
8.101000	-33.109	-255.26
8.121000	-36.914	-285.95
8.141000	-33.630	-260.69
8.161000	-33.639	-259.52
8.181000	-35.455	-275.82
8.201000	-32.605	-251.34
8.221000	-33.779	-259.52
8.241000	-37.788	-293.40
8.261000	-36.603	-283.01
8.281000	-33.005	-254.37
8.301000	-34.610	-268.59
8.321000	-30.616	-234.89
8.341000	-34.381	-265.37
8.361000	-34.244	-266.37
8.381000	-35.890	-278.84
8.401000	-33.414	-258.44
8.421000	-33.411	-259.21
8.441000	-34.582	-269.00
8.461000	-32.359	-248.97
8.481000	-33.194	-256.30
8.501000	-33.576	-259.16
8.521000	-34.883	-269.22
8.541000	-33.811	-261.53
8.561000	-33.979	-262.03
8.581000	-33.610	-259.82
8.601000	-33.511	-258.59
8.621000	-32.702	-251.86
8.641000	-31.405	-242.51
8.661000	-32.326	-249.69
8.681000	-34.512	-265.59
8.701000	-34.189	-263.69
8.721000	-33.962	-261.60
8.741000	-35.132	-271.45
8.761000	-33.373	-257.78
8.781000	-33.933	-262.45
8.801000	-33.355	-257.26
8.821000	-34.026	-263.62
8.841000	-34.319	-264.74
8.861000	-33.731	-260.22
8.881000	-32.092	-247.37
8.901000	-34.205	-264.48
8.921000	-32.358	-249.38
8.941000	-32.693	-252.85
8.961000	-33.170	-256.97
8.981000	-32.454	-251.03
9.001000	-32.869	-254.64
9.021000	-33.412	-258.39
9.041000	-33.173	-255.41
9.061000	-34.602	-269.41
9.081000	-32.936	-255.78
9.101000	-33.475	-259.15
9.121000	-32.875	-255.47
9.141000	-34.383	-267.01
9.161000	-32.535	-252.50
9.181000	-34.423	-267.24
9.201000	-33.854	-262.55
9.221000	-33.992	-263.79
9.241000	-34.529	-267.47
9.261000	-33.367	-258.35
9.281000	-33.714	-260.77
9.301000	-35.535	-275.57
9.321000	-34.597	-269.65
9.341000	-33.867	-260.30
9.361000	-35.534	-276.58
9.381000	-30.586	-234.95
9.401000	-34.337	-266.37
9.421000	-33.729	-262.41
9.441000	-32.718	-253.23
9.461000	-35.442	-274.74
9.481000	-33.556	-261.21
9.501000	-35.318	-274.43
9.521000	-33.310	-257.09
9.541000	-34.358	-265.84
9.561000	-33.130	-255.92
9.581000	-33.471	-258.42
9.601000	-33.251	-256.80
9.621000	-32.478	-250.36
9.641000	-33.829	-262.72
9.661000	-34.156	-265.04
9.681000	-33.646	-260.25
9.701000	-32.234	-249.80
9.721000	-33.467	-259.01
9.741000	-35.338	-276.54
9.761000	-34.132	-265.51
9.781000	-34.242	-264.39
9.801000	-34.271	-266.00
9.821000	-32.878	-254.26
9.841000	-33.936	-263.72
9.861000	-34.917	-272.46
9.881000	-34.547	-269.01
9.901000	-34.396	-265.64
9.921000	-33.267	-257.44
9.941000	-34.832	-269.72
9.961000	-35.756	-276.71
9.981000	-33.910	-262.17
10.001000	-34.461	-268.34
10.021000	-35.041	-271.28
10.041000	-33.883	-261.91
10.061000	-33.899	-262.13
10.081000	-32.838	-252.97
10.101000	-34.002	-263.34
10.121000	-33.621	-261.27
10.141000	-35.085	-271.64
10.161000	-33.720	-262.58
10.181000	-31.668	-245.97
10.201000	-35.399	-275.07
10.221000	-35.979	-279.70
10.241000	-34.539	-269.20
10.261000	-34.322	-266.74
10.281000	-33.748	-262.03
10.301000	-37.348	-291.20
10.321000	-34.564	-266.86
10.341000	-32.277	-250.86
10.361000	-36.022	-279.48
10.381000	-34.888	-269.57
10.401000	-34.753	-268.53
10.421000	-34.156	-266.22
10.441000	-35.326	-274.63
10.461000	-35.851	-278.28
10.481000	-36.101	-280.56
10.501000	-35.479	-275.65
10.521000	-35.234	-272.84
10.541000	-34.590	-269.17
10.561000	-36.023	-280.68
10.581000	-33.013	-255.07
10.601000	-33.831	-263.46
10.621000	-33.928	-264.62
10.641000	-35.544	-276.50
10.661000	-34.236	-264.75
10.681000	-34.312	-266.00
10.701000	-33.960	-262.25
10.721000	-34.962	-271.48
10.741000	-35.246	-273.92
10.761000	-35.739	-278.32
10.781000	-33.584	-258.75
10.801000	-36.554	-286.32
10.821000	-33.432	-260.24
10.841000	-36.015	-278.55
10.861000	-34.102	-264.75
10.881000	-35.614	-277.33
10.901000	-36.832	-286.92
10.921000	-36.211	-282.61
10.941000	-33.573	-261.09
10.961000	-35.939	-280.03
10.981000	-34.636	-270.14
11.001000	-34.235	-264.76
11.021000	-36.091	-279.58
11.041000	-35.623	-276.63
11.061000	-35.355	-274.32
11.081000	-36.165	-281.03
11.101000	-33.618	-260.69
11.121000	-35.258	-274.75
